PM25h,HUM,TEMP,CO,CO2,PM10p,NO,NO2,PM10h,PM25p
108,25.1,13,1.5,458,229,0.008,0.052,111,87
97,26.7,13.4,1.6,483,230,0.03,0.055,107,84
105,24.1,13.5,1.5,477,223,0.014,0.049,108,80
110,22.5,13.1,1.5,460,221,0.002,0.04,107,68
101,22.8,12.8,1.4,451,226,0.004,0.039,107,71
99,22.6,12.7,1.5,459,220,0.005,0.036,98,77
98,23.5,12.8,1.5,461,224,0.008,0.044,98,76
97,24.9,12.8,1.5,457,214,0.01,0.042,105,72
106,25.1,13.3,1.6,482,206,0.014,0.049,100,73
105,25.9,13.2,1.5,459,216,0.002,0.043,94,66
115,27,13.3,1.6,473,212,0.009,0.046,92,77
107,27.5,13.2,1.5,468,208,0.008,0.045,104,65
115,27.2,13.2,1.6,461,208,0.006,0.043,104,72
119,28.8,13.4,1.6,479,204,0.008,0.05,97,70
118,28.1,13.8,1.6,481,207,0.015,0.054,107,75
118,28.5,13.9,1.6,490,218,0.01,0.055,112,85
123,28.7,14.1,1.6,495,213,0.008,0.053,108,86
123,29.1,14,1.6,473,213,0.007,0.049,117,73
120,28.9,14.3,1.7,497,213,0.013,0.055,117,75
117,28.5,14.3,1.6,479,202,0.007,0.051,108,82
123,29.3,14,1.7,461,212,0.005,0.048,88,82
122,29.2,14.2,1.7,481,208,0.007,0.05,93,97
105,28.8,14.3,1.7,481,207,0.01,0.053,102,84
107,28.3,14.3,1.7,482,199,0.012,0.053,92,92
102,26.4,14.4,1.6,481,201,0.018,0.056,86,85
102,26.9,14.3,1.7,471,205,0.006,0.052,99,87
93,27.5,14.4,1.7,475,201,0.012,0.046,90,83
95,28.1,14.4,1.9,492,196,0.02,0.054,86,79
90,27.2,14.5,1.7,487,198,0.012,0.053,87,76
92,27,14.6,1.7,483,191,0.015,0.053,85,79
91,26.5,14.3,1.6,464,185,0.008,0.048,87,78
84,25.9,14.2,1.7,456,174,0.006,0.05,82,77
67,27,14.4,1.8,473,166,0.015,0.056,98,71
63,25.6,14.3,1.6,465,164,0.009,0.046,89,61
73,26.6,14.5,1.7,493,168,0.013,0.054,89,71
73,25.1,14.6,1.7,470,166,0.01,0.051,92,60
72,26.2,14.6,1.7,472,167,0.007,0.052,94,61
70,25.5,14.7,1.8,485,162,0.022,0.056,86,61
74,25.4,14.6,1.8,470,164,0.019,0.056,90,59
63,25.4,14.7,1.8,485,162,0.022,0.058,92,55
73,25.2,14.5,1.6,466,158,0.007,0.052,85,64
77,26,14.9,1.7,502,163,0.016,0.057,82,65
71,25.8,14.9,1.9,495,163,0.012,0.057,83,64
83,25.3,14.7,1.7,477,169,0.006,0.045,88,52
83,26.1,14.8,1.8,486,183,0.017,0.057,99,54
81,27.4,14.6,1.7,471,190,0.008,0.051,110,57
78,28.1,14.5,1.8,478,187,0.008,0.052,107,53
82,28.9,14.5,1.7,478,195,0.007,0.05,103,64
77,29,14.8,1.9,498,185,0.018,0.055,106,55
75,29.4,14.7,1.8,491,192,0.013,0.053,108,60
73,30,14.6,1.8,480,195,0.015,0.054,108,60
79,30.2,14.5,1.8,485,196,0.011,0.052,106,64
74,30.9,14.2,1.7,478,193,0.007,0.049,117,59
65,30.5,14.4,1.8,482,200,0.008,0.051,109,57
72,30.6,14.5,1.8,496,202,0.011,0.052,116,63
73,30.2,14.2,1.8,473,206,0.019,0.054,115,88
82,30.5,14.2,1.9,487,193,0.016,0.054,104,102
75,30.6,13.9,1.8,467,185,0.008,0.05,100,102
79,31.1,13.5,1.7,456,176,0.004,0.045,94,101
76,30.8,13.8,1.7,479,171,0.007,0.048,95,99
80,31.3,13.9,1.8,494,170,0.017,0.053,97,100
77,31.5,14.2,2,512,162,0.029,0.054,92,90
80,30.9,14.5,1.9,525,169,0.026,0.054,95,99
76,31.3,14.2,1.9,507,176,0.022,0.054,96,92
77,30.8,14.4,2,513,181,0.028,0.055,90,86
81,32,14.4,1.9,521,177,0.024,0.055,96,85
76,32.5,14.5,2.1,537,176,0.026,0.05,85,84
70,32.4,14.1,2.1,504,172,0.029,0.055,95,86
69,33.7,13.9,2.1,511,171,0.033,0.053,107,74
76,33.6,14.2,2.2,527,171,0.034,0.054,112,68
71,33.8,14.1,2.2,525,182,0.036,0.056,119,77
71,33.8,13.7,2.1,499,190,0.016,0.052,121,76
76,35.1,13.7,2.2,549,194,0.039,0.058,120,75
83,34,13.9,2.3,538,201,0.051,0.058,126,86
82,34.1,13.8,2.2,549,202,0.034,0.051,122,82
82,33.8,13.6,2,523,200,0.02,0.052,126,85
76,32.2,13.6,2,533,200,0.024,0.055,134,87
80,33.8,13.1,2.1,523,204,0.029,0.055,131,93
79,31.7,13.2,2,507,204,0.028,0.057,133,86
78,33.5,12.9,2,521,227,0.023,0.056,124,83
76,32.5,13.2,2,522,234,0.032,0.056,114,86
80,32.9,13.4,2.1,547,234,0.035,0.055,113,95
78,30.8,13.4,2,505,230,0.038,0.057,107,86
78,32.6,12.9,2,500,225,0.046,0.06,107,87
77,32.5,13.6,2.2,552,232,0.07,0.06,112,89
75,31.7,13.4,2,520,229,0.037,0.057,113,86
76,31.5,13.2,1.9,518,231,0.031,0.055,112,86
81,32.2,12.8,1.9,492,230,0.021,0.055,110,89
83,32.6,12.9,1.9,520,232,0.023,0.055,103,89
76,32.5,12.8,1.8,500,227,0.016,0.052,104,87
